Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,27.034971,27.065384,26.502789,26.837303,26.837303,5310724
2020-02-21,26.710592,26.766346,25.955399,26.213886,26.213886,4403144
2020-02-24,25.225546,25.276230,24.034466,24.485556,24.485556,7265770
2020-02-25,24.860619,24.936646,23.400911,23.426254,23.426254,6799550
2020-02-26,23.679676,23.993917,22.959959,23.279270,23.279270,6851242
2020-02-27,22.569691,23.081602,21.743538,22.078054,22.078054,11049984
2020-02-28,20.881907,21.849976,19.868221,20.506842,20.506842,16947084
2020-03-02,20.638620,21.535732,19.969589,21.485048,21.485048,7908770
2020-03-03,21.626965,22.154079,20.988342,21.175875,21.175875,9216475
2020-03-04,21.535732,21.986822,20.876837,21.986822,21.986822,6008377
2020-03-05,21.302586,21.571211,20.522049,20.704512,20.704512,7139103
2020-03-06,19.766853,20.719715,19.574251,20.081095,20.081095,8400837
2020-03-09,18.489611,18.651798,17.972631,18.373035,18.373035,10960804
2020-03-10,19.107958,19.959454,17.992905,19.837811,19.837811,9943920
2020-03-11,19.077547,19.538773,18.535227,18.722757,18.722757,9386942
2020-03-12,17.222504,17.698936,16.376078,16.594019,16.594019,13329588
2020-03-13,17.830715,18.220984,16.796757,18.220984,18.220984,9643038
2020-03-16,14.789660,17.389763,14.789660,16.325394,16.325394,10100379
2020-03-17,16.629498,16.958946,15.326913,15.874303,15.874303,9976277
2020-03-18,14.698429,15.281298,12.929549,14.632539,14.632539,9067711
2020-03-19,14.698429,16.578814,14.282818,16.198683,16.198683,8396299
2020-03-20,16.644703,18.697414,16.229094,16.467310,16.467310,13518799
2020-03-23,16.725798,18.109478,15.980740,17.202230,17.202230,7340349
2020-03-24,18.479473,19.695894,17.501266,19.690826,19.690826,7084254
2020-03-25,19.954384,21.490116,19.346172,19.939178,19.939178,7389280
2020-03-26,20.243284,21.743538,20.020273,21.561075,21.561075,6317941
2020-03-27,20.390268,20.775469,19.396858,19.640142,19.640142,6310246
2020-03-30,20.126711,20.866699,19.655348,20.172325,20.172325,6928979
2020-03-31,20.000000,20.780537,19.711100,20.045616,20.045616,3495761
2020-04-01,19.133301,19.695894,18.504814,18.702484,18.702484,4866207
2020-04-02,18.540295,19.285353,18.332489,18.824125,18.824125,3894307
2020-04-03,18.737963,19.097820,18.008108,18.469336,18.469336,4084899
2020-04-06,19.498226,19.837811,19.214394,19.721237,19.721237,6457629
2020-04-07,20.233147,20.669031,19.336037,19.447542,19.447542,7205396
2020-04-08,19.665483,20.623417,19.564116,20.466295,20.466295,6720038
2020-04-09,21.120123,21.667511,20.851496,21.064369,21.064369,8348158
2020-04-13,20.608212,20.942726,20.233147,20.506842,20.506842,3434006
2020-04-14,20.876837,21.464773,20.679169,20.952864,20.952864,5004120
2020-04-15,20.288900,20.709579,20.070957,20.501774,20.501774,4119427
2020-04-16,20.648758,20.876837,20.207806,20.831221,20.831221,3042169
2020-04-17,21.363405,21.424227,20.780537,21.039026,21.039026,6397453
2020-04-20,20.446020,21.165737,20.349722,20.760263,20.760263,4069510
2020-04-21,20.238216,20.349722,18.854536,18.955906,18.955906,7012437
2020-04-22,19.412064,19.868221,19.204256,19.640142,19.640142,7617950
2020-04-23,19.873289,20.162189,19.614799,19.721237,19.721237,2845855
2020-04-24,19.934111,20.263557,19.513432,20.116573,20.116573,3493788
2020-04-27,20.354790,20.582869,20.278763,20.369995,20.369995,3014349
2020-04-28,20.775469,20.963001,20.375063,20.699442,20.699442,5056996
2020-04-29,21.054232,22.133806,20.983274,21.991892,21.991892,6579363
2020-04-30,21.794222,22.012163,21.459705,21.637100,21.637100,3432231
2020-05-01,21.079575,21.282310,20.162189,20.273695,20.273695,3702926
2020-05-04,20.106438,20.562595,19.660416,20.552458,20.552458,2514589
2020-05-05,20.780537,21.115053,20.349722,20.369995,20.369995,2149781
2020-05-06,20.577801,20.846428,20.380133,20.522049,20.522049,2265201
2020-05-07,20.810947,21.201216,20.709579,21.160669,21.160669,2209365
2020-05-08,21.490116,22.199696,21.419159,22.123671,22.123671,4143695
2020-05-11,21.926001,22.184490,21.556005,21.981754,21.981754,3142200
2020-05-12,22.067917,22.194628,21.414089,21.414089,21.414089,4281805
2020-05-13,21.464773,21.642170,20.451090,20.795744,20.795744,4291472
2020-05-14,20.354790,21.236694,19.918905,21.216421,21.216421,3262750
2020-05-15,20.861631,21.419159,20.562595,21.332994,21.332994,3069593
2020-05-18,21.728333,22.493664,21.566143,22.189560,22.189560,3665439
2020-05-19,22.093260,22.777496,22.093260,22.321339,22.321339,4253591
2020-05-20,22.513939,22.787634,22.179422,22.635580,22.635580,4144484
2020-05-21,22.650785,22.828180,22.067917,22.498734,22.498734,3477018
2020-05-22,21.996960,22.199696,21.231627,21.829700,21.829700,5418450
2020-05-26,22.696402,22.858591,22.498734,22.534212,22.534212,3831961
2020-05-27,22.807907,23.096807,22.138874,23.096807,23.096807,5659748
2020-05-28,22.944754,23.411049,22.929548,23.101875,23.101875,8541906
2020-05-29,24.835276,25.342119,24.328434,25.159655,25.159655,23420102
2020-06-01,24.956919,25.240749,24.470350,25.022808,25.022808,7528179
2020-06-02,25.038013,25.159655,24.642675,24.911303,24.911303,5828439
2020-06-03,25.088697,25.119108,24.688292,24.738976,24.738976,5198658
2020-06-04,24.551445,24.956919,24.404461,24.936646,24.936646,5245812
2020-06-05,25.058287,26.026356,25.058287,25.605677,25.605677,8202353
2020-06-08,25.848961,26.376078,25.747593,26.183477,26.183477,7115624
2020-06-09,26.001015,26.001015,25.286366,25.357325,25.357325,4731057
2020-06-10,25.377598,25.458693,24.815002,25.032946,25.032946,2883540
2020-06-11,24.323364,24.455145,23.542828,23.613787,23.613787,6145698
2020-06-12,24.515966,24.673086,23.360365,23.770906,23.770906,3785003
2020-06-15,23.213381,24.029396,23.122149,23.852001,23.852001,4336259
2020-06-16,24.591991,24.683224,23.887482,24.166245,24.166245,3159957
2020-06-17,24.211861,24.642675,24.059807,24.085150,24.085150,4104235
2020-06-18,23.943233,24.095285,23.684744,24.034466,24.034466,4487391
